O,D,value
7,69,73.38
7,70,101.73
7,71,119.16
7,72,395.88
7,73,431.47
7,74,66.7
7,75,46.41
7,76,123.28
7,77,70.13
7,78,136.94
7,79,91.88
7,80,69.98
7,81,43.04
7,82,22.72
7,84,71.23
7,85,77.7
7,133,24.28
7,135,17.13
7,136,16.44
7,147,22.2
8,1,82.26
8,2,163.76
8,3,111.39
8,4,148.45
8,5,199.46
8,6,388.77
8,7,247.62
8,9,430.78
8,10,427.54
8,11,126.83
8,12,58.98
8,13,57.24
8,14,225.31
8,15,93.35
8,16,131.59
8,17,181.13
8,18,104.03
8,19,20.08
8,20,19.37
8,21,18.26
8,23,42.92
8,26,16.38
8,28,19.33
8,29,16.77
8,37,339.53
8,41,30.91
8,43,27.67
8,45,45.99
8,46,32.07
8,47,49.34
8,48,48.9
8,49,74.88
8,50,82.54
8,52,41.59
8,53,80.99
8,58,37.07
8,62,35.8
8,63,40.39
8,64,216.59
8,65,22.21
8,66,156.27
8,67,84.05
8,68,397.65
8,69,279.88
8,70,97.78
8,71,183.7
8,72,333.37
8,73,695.69
8,74,57.18
8,75,36.37
8,76,378.51
8,77,214.59
8,78,348.64
8,79,344.21
8,80,170.06
8,81,83.97
8,82,44.17
8,83,17.21
8,84,59.61
8,85,47.49
8,133,67.63
8,135,58.43
8,136,25.97
8,145,41.17
8,146,16.26
8,147,58.76
8,148,25.27
8,232,17.43
8,377,16
9,1,26.27
9,2,58.32
9,3,54.2
9,4,74.74
9,5,110.7
9,6,135.92
9,7,132.28
9,8,330.49
9,10,413.64
9,11,118.14
9,12,49.68
9,13,58.35
9,14,165.69
9,15,63.53
9,16,81.85
9,17,94.63
9,18,61.02
9,20,18.41
9,23,28.73
9,26,17.46
9,37,332.23
9,41,23.8
9,43,19.78
9,45,31.14
9,46,17.22
9,47,17.56
9,48,20.74
9,49,22.77
9,50,29.69
9,53,25.18
9,58,22.27
9,62,19.73
9,63,23.42
9,64,153.64
9,66,51.77
9,67,56.88
9,68,145.49
9,69,187.13
9,70,30.15
9,71,59.64
9,72,105.51
9,73,239.19
9,76,351.44
9,77,280.38
9,78,587.5
9,79,351.28
9,80,298.54
9,81,133.38
9,82,82.02
9,83,24.03
9,84,89.04
9,85,63.04
9,86,21.53
9,133,68.16
9,135,80.79
9,136,34.89
9,145,36.05
9,147,57.37
9,148,23.38
10,1,70.42
10,2,146.4
10,3,290.61
10,4,416.32
10,5,590.73
10,6,338.07
10,7,758.41
10,8,485.87
10,9,608.4
10,11,700.47
10,12,264.79
10,13,333.93
10,14,947.14
10,15,366.38
10,16,486.23
10,17,554.61
10,18,293.92
10,19,59.66
10,20,117.35
10,21,61.15
10,22,36.61
10,23,114.31
10,24,58.56
10,25,47.28
10,26,58.83
10,27,21.17
10,28,56.68
10,29,39.18
10,37,266.45
10,41,23.09
10,45,24.38
10,47,34.6
10,48,25.29
10,49,36.31
10,50,35.33
10,52,27.48
10,53,56.08
10,58,18.07
10,62,20.78
10,63,21.28
10,64,123.49
10,66,66.96
10,67,41.71
10,68,190.47
10,69,151.32
10,70,71.01
10,71,108.55
10,72,274.23
10,73,420.82
10,74,41.32
10,75,30.43
10,76,333.13
10,77,268.5
10,78,535.51
10,79,310.88
10,80,299.31
10,81,137.66
10,82,100.29
10,83,26.93
10,84,304.41
10,85,324.32
10,86,29.3
10,90,21.96
10,91,18.71
10,133,45.34
10,135,64.77
10,136,28.75
10,145,31.69
10,147,58.89
10,148,24.31
11,1,22.71
11,2,41.5
11,3,80.2
11,4,115.28
11,5,264.86
11,6,89.98
11,7,213.13
11,8,139.1
11,9,173.9
11,10,690.57
11,12,473.95
11,13,618.4
11,14,397.07
11,15,369.4
11,16,603.9
11,17,556.27
11,18,304.67
11,19,59.71
11,20,214.83
11,21,80.63
11,22,39.89
11,23,130.55
11,24,99.02
11,25,83.9
11,26,88.26
11,27,24.62
11,28,51.78
11,29,37.8
11,37,71.02
11,53,16.48
11,64,36.92
11,66,16.45
11,68,46.97
11,69,39.01
11,70,18.73
11,71,27.67
11,72,68.43
11,73,100.37
11,76,91.94
11,77,187.66
11,78,424.06
11,79,81.67
11,80,552.23
11,81,228.6
11,82,186.71
11,83,50.15
11,84,566.28
11,85,663.41
11,86,53.96
11,87,27.22
11,88,17.61
11,90,49.4
11,91,38.03
11,133,27.63
11,135,48.72
11,136,29.5
11,145,62.34
11,146,22.46
11,147,108.2
11,148,47.82
11,157,17.55
11,382,16
12,1,26.28
12,2,47.44
12,3,94.14
12,4,140.14
12,5,304.13
12,6,75.45
12,7,169.66
12,8,53.86
12,9,57.16
12,10,219.54
12,11,391.9
12,13,442.08
12,14,437.59
12,15,398.49
12,16,545.74
12,17,601.82
12,18,326.97
12,19,64.74
12,20,161.28
12,21,74.66
12,22,37.49
12,23,132.5
12,24,77.7
12,25,41.97
12,26,74.89
12,27,29.38
12,28,62.1
12,29,43.91
12,30,17.72
12,36,16.2
12,37,17.67
12,64,28.71
12,69,19.32
12,70,16.85
12,71,19.8
12,72,56.58
12,73,66.58
12,76,42.61
12,77,64.32
12,78,123.95
12,79,24.77
12,80,156.54
12,81,74.5
12,82,57.73
12,83,21.54
12,84,172.95
12,85,232.57
12,86,20.8
12,90,16.25
12,91,17.69
12,135,16.34
12,145,18.23
12,147,42.51
12,148,18.13
12,356,24.62
12,387,21
13,1,28.14
13,2,42.08
13,3,94.99
13,4,104.68
13,5,279.18
13,6,59.56
13,7,130.44
13,8,59.22
13,9,58.04
13,10,220.26
13,11,420.03
13,12,379.82
13,14,338.32
13,15,322.67
13,16,1068.96
13,17,545.62
13,18,588.16
13,19,121.51
13,20,379.58
13,21,151.24
13,22,75.53
13,23,280.86
13,24,191.07
13,25,94.6
13,26,180.64
13,27,57.29
13,28,117.17
13,29,89.75
13,30,36.5
13,31,18.16
13,32,17.73
13,34,21.01
13,35,26.1
13,36,25.06
13,37,18.04
13,64,33.33
13,68,16.66
13,69,18.88
13,72,44.76
13,73,54.71
13,76,46.98
13,77,70.34
13,78,126.22
13,79,28.19
13,80,229.52
13,81,111.66
13,82,119.67
13,83,39.96
13,84,223.69
13,85,596.12
13,86,53.92
13,87,30.03
13,90,41.07
13,91,39.06
13,97,21.99
13,133,16.96
13,135,22.42
13,136,20.92
13,145,30.22
13,147,80.42
13,148,34.13
13,157,16.49
13,159,16.62
13,356,30.79
13,381,19
13,382,21
13,383,22
13,387,40
14,1,106.07
14,2,201.08
14,3,455.89
14,4,638.84
14,5,1309.8
14,6,349.8
14,7,811.45
14,8,222.15
14,9,198.45
14,10,830.75
14,11,353.09
14,12,469.63
14,13,420.32
14,15,809.4
14,16,1074.72
14,17,1249.3
14,18,646.34
14,19,125.61
14,20,148.11
14,21,135.14
14,22,86.91
14,23,249
14,24,79.6
14,25,44.82
14,26,87.36
14,27,49.66
14,28,122.69
14,29,86.61
14,30,20.9
14,31,19.28
14,34,21.11
14,35,22.23
14,36,26.52
14,37,83.34
14,41,24.2
14,47,27.86
14,48,17.89
14,49,30.94
14,50,23.91
14,52,30.81
14,53,47.57
14,64,80.84
14,66,39.36
14,67,20.1
14,68,78.06
14,69,66.71
14,70,70.76
14,71,87.47
14,72,281.87
14,73,309.89
14,74,51.76
14,75,36.7
14,76,139.16
14,77,98.08
14,78,178.15
14,79,100.83
14,80,138.47
14,81,75.67
14,82,53.16
14,83,16.6
14,84,146.52
14,85,182.86
14,86,19.82
14,91,19.17
14,133,26.17
14,135,24.48
14,136,16.77
14,147,40.13
14,148,19.24
14,356,40.4
14,382,16
14,387,49
15,1,51.04
15,2,60.59
15,3,177.09
15,4,178.9
15,5,579.05
15,6,102.13
15,7,213.65
15,8,75.33
15,9,60.18
15,10,226.94
15,11,208.83
15,12,286.49
15,13,278.33
15,14,550.58
15,16,1052.77
15,17,1196.07
15,18,647.53
15,19,123.29
15,20,112.24
15,21,139.81
15,22,88.15
15,23,258.77
15,24,75.85
15,25,45.37
15,26,93.33
15,27,54.43
15,28,124.21
15,29,100.31
15,30,21.6
15,31,19.84
15,32,16.29
15,34,24.74
15,35,28.85
15,36,27.37
15,37,21.98
15,41,16.85
15,64,38.73
15,68,23.38
15,69,29.07
15,70,21.68
15,71,29.47
15,72,77.37
15,73,97.42
15,74,21.13
15,76,61.08
15,77,44.6
15,78,71.31
15,79,29.29
15,80,89.07
15,81,54.68
15,82,40.61
15,84,89.74
15,85,118.56
15,86,19.74
15,91,21.46
15,147,31.75
15,387,45
16,1,57.54
16,2,65.82
16,3,189.24
16,4,151.38
16,5,514.88
16,6,83.26
16,7,166.2
16,8,78.73
16,9,50.89
16,10,170.32
16,11,158.77
16,12,195.07
16,13,428.48
16,14,364.18
16,15,481.94
16,17,932.72
16,18,1040.1
16,19,218.54
16,20,207.3
16,21,248.49
16,22,137.45
16,23,516.67
16,24,156.27
16,25,92.96
16,26,195.01
16,27,112.22
16,28,238.26
16,29,215.07
16,30,49.61
16,31,55.9
16,32,40.28
16,33,32.26
16,34,54.18
16,35,62.3
16,36,61.96
16,41,25.39
16,53,17.91
16,64,49.43
16,68,20.46
16,69,33.5
16,70,16.85
16,71,28.05
16,72,64.24
16,73,83.42
16,74,24.73
16,75,22.21
16,76,83.88
16,77,64.7
16,78,67.93
16,79,28.82
16,80,130.88
16,81,82.18
16,82,62.34
16,83,23.39
16,84,100.22
16,85,194.31
16,86,38.55
16,87,23.2
16,90,21.97
16,91,36.15
16,97,22.47
16,133,20.25
16,135,21.34
16,136,17.21
16,145,17.86
16,147,46.9
16,148,25.13
16,159,16.46
16,356,44.99
16,357,29
16,377,31
16,379,21
16,380,16
16,381,41
16,382,60
16,383,17
16,387,129
17,1,89.07
17,2,90.77
17,3,311.83
17,4,231.41
17,5,940.16
17,6,89.04
17,7,179.58
17,8,83.74
17,9,53.07
17,10,180.65
17,11,137.13
17,12,184.53
17,13,228.14
17,14,391.55
17,15,468.77
17,16,869.41
17,18,1088.73
17,19,210.88
17,20,108.38
17,21,124.98
17,22,149.06
17,23,314.24
17,24,97.65
17,25,59.66
17,26,121.64
17,27,78.3
17,28,235.22
17,29,206.56
17,30,34.91
17,31,36.25
17,32,31.49
17,33,23.92
17,34,41.09
17,35,58.04
17,36,54.17
17,52,16.8
17,53,16.9
17,64,38.68
17,68,26.24
17,69,27.28
17,70,24.45
17,71,30.62
17,72,90.64
17,73,88.83
17,74,43.62
17,75,32.01
17,76,76.95
17,77,44.66
17,78,50.8
17,79,28.81
17,80,74.12
17,81,46.91
17,82,35.54
17,84,64.4
17,85,94.54
17,86,19.37
17,91,19.14
17,147,23.7
18,1,70.92
18,2,77.21
18,3,216.87
18,4,168.2
18,5,580.2
18,6,78.41
18,7,143.33
18,8,76.5
18,9,45.86
18,10,148.1
18,11,114.89
18,12,144.46
18,13,272.43
18,14,276.89
18,15,302.66
18,16,901.33
18,17,1018.5
18,19,239.27
18,20,138.66
18,21,144.09
18,22,157.32
18,23,406.71
18,24,128.31
18,25,84.77
18,26,170.2
18,27,104.68
18,28,265.27
18,29,247.52
18,30,50.41
18,31,57.32
18,32,41.04
18,33,33.67
18,34,61.31
18,35,81.87
18,36,87.76
18,41,37.24
18,48,17.83
18,49,20.57
18,53,17.48
18,58,16.45
18,64,74.81
18,68,18.73
18,69,41.48
18,70,18.79
18,71,30.46
18,72,78.58
18,73,86.01
18,74,34.37
18,75,27.6
18,76,99.18
18,77,69.68
18,78,58.14
18,79,23.55
18,80,100.64
18,81,79.36
18,82,47.67
18,83,22.75
18,84,67.24
18,85,122.51
18,86,38.42
18,87,21.68
18,91,42.22
18,97,20.82
18,133,26.01
18,135,20.94
18,136,25.43
18,145,18.07
18,147,43.45
18,148,24.64
18,159,16.77
18,382,16
18,387,17
19,3,47.13
19,4,35.33
19,5,127.67
19,6,18.02
19,7,28.23
19,10,28
19,11,25.97
19,12,30.54
19,13,61.28
19,14,58.28
19,15,63.94
19,16,207.27
19,17,205.08
19,18,256.73
19,20,39.04
19,21,43.17
19,22,70.56
19,23,167.03
19,24,39.58
19,25,26.59
19,26,57.39
19,27,34.93
19,28,110.26
19,29,90.3
19,30,16.53
19,31,18.83
19,34,20.38
19,35,26.53
19,36,29.24
19,72,16.05
19,73,17.31
19,76,19.77
19,80,22.35
19,85,28.73
19,387,55
20,2,18.65
20,3,50.02
20,4,53.46
20,5,156.02
20,6,31.44
20,7,63.54
20,8,26.05
20,9,23.76
20,10,109.97
20,11,215.15
20,12,190.37
20,13,557.98
20,14,170.93
20,15,168.69
20,16,653.9
20,17,325.14
20,18,340.14
20,19,82.42
20,21,224.64
20,22,91.74
20,23,410.91
20,24,348.82
20,25,169.78
20,26,308.02
20,27,73.2
20,28,130.06
20,29,84.19
20,30,53.24
20,31,20.47
20,32,21.17
20,34,21.37
20,35,19.49
20,36,18.04
20,64,21.38
20,72,23.21
20,73,27.33
20,76,28.53
20,77,38.52
20,78,61.81
20,80,111.25
20,81,59.24
20,82,116.36
20,83,28.09
20,84,108.47
20,85,537.34
20,86,99.27
20,87,49.44
20,88,38.48
20,90,78.42
20,91,103.17
20,93,17.45
20,97,43.32
20,98,28.34
20,145,16.32
20,147,41.2
20,148,19.42
20,157,26.28
20,159,28.99
20,356,39.1
20,377,24
20,379,17
20,381,63
20,382,57
20,383,17
20,387,97
21,3,54.58
21,4,40.1
21,5,163.01
21,6,23.71
21,7,49.67
21,8,19.87
21,9,16.14
21,10,47.72
21,11,51.12
21,12,64.2
21,13,145.04
21,14,119.62
21,15,165.88
21,16,651.8
21,17,332.06
21,18,346.6
21,19,81.13
21,20,163.86
21,22,94.43
21,23,393.81
21,24,108.71
21,25,50.3
21,26,105.87
21,27,64.29
21,28,125.92
21,29,91.62
21,30,20.09
21,31,22.22
21,34,17.44
21,35,23.56
21,36,20.07
21,72,17.1
21,73,27.78
21,76,19.1
21,77,16.71
21,78,20.21
21,80,39.78
21,81,22.42
21,82,22.45
21,84,32.38
21,85,102.94
21,86,26.25
21,90,21.82
21,91,25.7
21,147,16.5
21,357,17.04
21,381,19
21,382,24
21,387,89
22,2,16.2
22,3,54.41
22,4,39.5
22,5,150.38
22,7,29.11
22,10,32.64
22,11,24.57
22,12,32.84
22,13,62.22
22,14,61.28
22,15,75.1
22,16,262.03
22,17,313.15
22,18,319.54
22,19,136.73
22,20,63.23
22,21,77.87
22,23,318.67
22,24,61.08
22,25,31.78
22,26,82.51
22,27,61.06
22,28,264.57
22,29,163.6
22,30,16.13
22,31,26.24
22,34,24.12
22,35,37.5
22,36,24.78
22,80,17.09
22,85,36.3
22,387,29
23,1,38.75
23,2,46.99
23,3,130.57
23,4,103.02
23,5,364.4
23,6,51.01
23,7,105.88
23,8,52.64
23,9,28.18
23,10,105.39
23,11,110.8
23,12,131.42
23,13,295.07
23,14,239.27
23,15,320.01
23,16,1233.59
23,17,708.19
23,18,784.82
23,19,336.66
23,20,357.76
23,21,424.02
23,22,412.48
23,24,445.35
23,25,198.96
23,26,593.07
23,27,405.36
23,28,768.6
23,29,501.39
23,30,118.29
23,31,137.69
23,32,87.42
23,33,46.47
23,34,96.89
23,35,112.62
23,36,90.91
23,41,22.33
23,64,46.74
23,69,24.64
23,72,43.77
23,73,54.97
23,76,51.58
23,77,51.7
23,78,39.05
23,80,79.41
23,81,57.71
23,82,60.2
23,83,17.03
23,84,61.43
23,85,211.09
23,86,84.68
23,87,45.5
23,88,36.71
23,90,65.29
23,91,124.79
23,93,18.94
23,97,85.56
23,98,38.12
23,99,17.41
23,101,21.99
23,135,16.32
23,136,16.45
23,147,37.03
23,148,19.67
23,157,26.91
23,159,28.69
23,356,77.53
23,357,29.4
23,381,72
23,382,93
23,383,20
23,387,217
24,3,33.19
24,4,34.25
24,5,97.9
24,7,34.27
24,8,16.5
24,10,46.94
24,11,89.41
24,12,87.67
24,13,233.93
24,14,69.87
24,15,92.4
24,16,346.55
24,17,187.97
24,18,210.02
24,19,80.95
24,20,303.2
24,21,121.41
24,22,99.81
24,23,539.4
24,25,197.55
24,26,434.1
24,27,102.48
24,28,182.3
24,29,117.26
24,30,81.68
24,31,35.06
24,32,35.21
24,34,20.48
24,35,24.65
24,36,20.32
24,64,17.24
24,76,20.11
24,77,24.84
24,78,27.5
24,80,43.78
24,81,33.93
24,82,57.79
24,83,17.55
24,84,42.58
24,85,250.72
24,86,100.02
24,87,46.83
24,88,51
24,90,66.7
24,91,176.76
24,93,22.3
24,97,77.09
24,98,44.42
24,147,27.76
24,157,19.57
24,159,22.33
24,356,32.83
24,377,17
24,379,24
24,380,16
24,381,87
24,382,74
24,383,29
24,387,92
25,4,19.13
25,5,54.08
25,7,23.12
25,9,16.37
25,10,46.28
25,11,97.41
25,12,47.7
25,13,136.89
25,14,46.18
25,15,45.9
25,16,184.21
25,17,98.04
25,18,113.43
25,19,42.59
25,20,157.11
25,21,62.76
25,22,50.83
25,23,276.38
25,24,248.63
25,26,500.66
25,27,108.79
25,28,96.68
25,29,94.35
25,30,85.57
25,31,36.11
25,32,32.74
25,34,21.28
25,35,20
25,36,16.23
25,64,18.46
25,76,18.9
25,77,26.46
25,78,37.35
25,80,81.43
25,81,40.24
25,82,122.76
25,83,34.27
25,84,75.5
25,85,464.67
25,86,189.86
25,87,109.62
25,88,168.9
25,89,42.52
25,90,140.4
25,91,429.82
25,93,91.14
25,95,23.01
25,97,103.59
25,98,168.57
25,99,17.58
25,100,34.09
25,147,55.66
25,148,21.32
25,157,47.2
25,158,16.73
25,159,58.47
25,160,16.95
25,161,16.04
25,356,21.48
25,382,16
25,383,23
25,387,26
26,2,20.33
26,3,50.19
26,4,38.46
26,5,144.54
26,6,21.9
26,7,44.87
26,8,22.07
26,9,18.73
26,10,70.37
26,11,120.86
26,12,114.55
26,13,329.33
26,14,103.83
26,15,132.74
26,16,493.43
26,17,281.38
26,18,304.21
26,19,129.2
26,20,436.34
26,21,176.34
26,22,167.73
26,23,905.9
26,24,704.13
26,25,640.63
26,27,625.77
26,28,489.41
26,29,526.3
26,30,477.68
26,31,198.31
26,32,196.57
26,33,46.47
26,34,103.18
26,35,109.32
26,36,68.09
26,64,27.33
26,72,18.09
26,73,24.84
26,76,24.63
26,77,35.59
26,78,40.65
26,80,82.81
26,81,46.65
26,82,109.65
26,83,32.63
26,84,69.99
26,85,461.28
26,86,189.44
26,87,97.37
26,88,180.23
26,89,36.93
26,90,140.89
26,91,766.86
26,93,101.06
26,95,29.25
26,97,520.8
26,98,298.64
26,99,80.11
26,100,72.5
26,101,37.09
26,106,28.33
26,107,20.01
26,111,33.01
26,147,57.32
26,148,22.35
26,157,44.16
26,158,20.96
26,159,54.29
26,160,16.26
26,356,52.34
26,357,28.1
26,381,24
26,382,40
26,383,29
26,387,106
27,3,39.07
27,4,38.79
27,5,131.14
27,7,33.22
27,10,36.01
27,11,37.42
27,12,45.23
27,13,106.6
27,14,84.34
27,15,111.93
27,16,474.93
27,17,277.74
27,18,276.05
27,19,127.21
27,20,134.99
27,21,165.78
27,22,174.57
27,23,906.32
27,24,179.37
27,25,166
27,26,751.72
27,28,557.87
27,29,599.91
27,30,130.12
27,31,227.31
27,32,124.57
27,33,42.69
27,34,112.64
27,35,116.33
27,36,75.87
27,73,20.53
27,80,26.73
27,82,23.93
27,84,26.18
27,85,100.6
27,86,39.96
27,87,18.61
27,88,35.28
27,90,34.29
27,91,192.17
27,93,19.44
27,97,149.16
27,98,69.52
27,99,38.7
27,100,20.74
27,101,32.43
27,111,23.37
27,356,63.11
27,357,17.3
28,1,29.41
28,2,30.65
28,3,113.74
28,4,82.34
28,5,327.55
28,6,31.92
28,7,57.34
28,8,31.6
28,9,18.51
28,10,59.3
28,11,55.15
28,12,64.37
28,13,138.37
28,14,132.89
28,15,157.96
28,16,556.48
28,17,677.82
28,18,682.85
28,19,297.48
28,20,134.54
28,21,169.97
28,22,425.85
28,23,889.52
28,24,171.05
28,25,76.44
28,26,312.91
28,27,295.72
28,29,843.17
28,30,71.11
28,31,123.62
28,32,70.39
28,33,51.36
28,34,120.55
28,35,174.59
28,36,101.26
28,72,24.98
28,73,21.27
28,76,22.55
28,77,16.82
28,78,18.46
28,80,37.06
28,81,24.8
28,82,21.87
28,84,29.57
28,85,75.81
28,86,29.69
28,87,16.72
28,90,22.29
28,91,55.26
28,97,46.66
28,98,22.38
28,99,18.71
28,101,20.83
28,111,17.79
28,356,76.57
28,383,16
28,387,77
29,1,33.1
29,2,34.4
29,3,118.73
29,4,90.84
29,5,364.21
29,6,35.77
29,7,66.16
29,8,30.78
29,9,20.05
29,10,69.9
29,11,60.72
29,12,75.41
29,13,153.6
29,14,152.04
29,15,178.42
29,16,642.31
29,17,784.94
29,18,776.56
29,19,347.5
29,20,154.61
29,21,189.62
29,22,496.89
29,23,1024.56
29,24,187.07
29,25,145
29,26,681.16
29,27,652.98
29,28,1623.8
29,30,204.39
29,31,478.65
29,32,268.67
29,33,184.25
29,34,481.3
29,35,736.05
29,36,347.71
29,64,18.88
29,72,24.81
29,73,29.39
29,76,24.28
29,77,21.8
29,78,18.4
29,80,47.17
29,81,22.6
29,82,26.12
29,84,31.77
29,85,82.5
29,86,32.4
29,87,16.43
29,88,33.64
29,90,26.7
29,91,175.82
29,93,31.52
29,95,17.37
29,97,277.26
29,98,105.33
29,99,110.33
29,100,47.67
29,101,138.37
29,102,18.53
29,106,59.5
29,107,23.99
29,108,42.64
29,109,26.13
29,110,111.73
29,111,112.13
29,112,47.56
29,113,44.23
29,114,25.98
29,115,39.19
29,147,21.65
29,159,16.06
29,356,246.99
29,357,65.38
30,5,36.66
30,10,18.1
30,11,29.18
30,12,31.68
30,13,80.44
30,14,25.1
30,15,34.47
30,16,122.83
30,17,66.67
30,18,74.74
30,19,30.82
30,20,104.29
30,21,43.6
30,22,38.71
30,23,222.95
30,24,173.88
30,25,158.84
30,26,744.03
30,27,161.96
30,28,119.75
30,29,216.98
30,31,147.16
