O,D,value
5,74,135.86
5,75,84.25
5,76,122.73
5,77,61.68
5,78,98.63
5,79,58.82
5,80,85.16
5,81,49.1
5,82,41.54
5,83,14.27
5,84,78.01
5,85,120.05
5,86,21.45
5,87,14.14
5,88,10.24
5,89,4.5
5,90,15.85
5,91,23.05
5,97,14.47
5,98,4.64
5,100,4.99
5,111,5.23
5,133,21.27
5,134,5.34
5,135,14.75
5,136,12.53
5,145,10.01
5,146,5.3
5,147,27.37
5,148,15.05
5,154,4.87
5,157,5.49
5,158,8.33
5,159,5.43
5,232,8.19
5,233,5.42
5,356,14.74
5,382,18
5,387,49
6,1,123.7
6,2,254.3
6,3,165.09
6,4,209.32
6,5,216.23
6,7,351.71
6,8,285.72
6,9,125.46
6,10,230.38
6,11,66.25
6,12,70.33
6,13,60.92
6,14,286.28
6,15,111.02
6,16,157.8
6,17,177.11
6,18,106.81
6,19,18.67
6,20,21.27
6,21,20.65
6,22,16.54
6,23,40.15
6,24,16.13
6,25,7.57
6,26,17.02
6,27,10.85
6,28,23.98
6,29,17.59
6,30,5.59
6,35,8.76
6,37,95.7
6,41,12.93
6,43,12.38
6,44,6.78
6,45,16.62
6,46,8.48
6,47,46.25
6,48,29.92
6,49,60.78
6,50,33.13
6,51,12.63
6,52,65.39
6,53,80.59
6,58,9.79
6,62,8.56
6,63,12.88
6,64,62.48
6,65,7.7
6,66,67.29
6,67,27.27
6,68,119.28
6,69,78.51
6,70,147.69
6,71,160.86
6,72,500.97
6,73,562.4
6,74,102.87
6,75,59.38
6,76,126.12
6,77,67.77
6,78,99.82
6,79,107.31
6,80,53.57
6,81,21.75
6,82,12.6
6,83,6.72
6,84,26.97
6,85,25.08
6,87,5.42
6,133,18.87
6,134,6.15
6,135,19.09
6,136,8.19
6,145,13.48
6,147,18.6
6,148,8.28
6,231,4.5
6,232,14.86
6,233,11.13
7,1,105.98
7,2,203.38
7,3,416.72
7,4,568.43
7,5,553.1
7,6,452.69
7,8,255.27
7,9,166
7,10,668.01
7,11,189.88
7,12,191.2
7,13,167.51
7,14,834.81
7,15,327.78
7,16,439.67
7,17,508.71
7,18,274.59
7,19,54.35
7,20,59.71
7,21,54.87
7,22,35.57
7,23,107.33
7,24,35.16
7,25,21.03
7,26,40.66
7,27,21.98
7,28,54.06
7,29,43.32
7,30,9.86
7,31,11.77
7,32,10.33
7,33,5.73
7,34,6.33
7,35,10.37
7,36,16.96
7,37,98.92
7,41,18.8
7,43,12.32
7,45,15.37
7,46,7.19
7,47,35.03
7,48,24.59
7,49,40.27
7,50,26.05
7,51,7.48
7,52,43.16
7,53,56.63
7,58,11.07
7,62,8.87
7,63,15.16
7,64,68.82
7,65,6.88
7,66,46.25
7,67,22.39
7,68,90.86
7,69,73.38
7,70,101.73
7,71,119.16
7,72,395.88
7,73,431.47
7,74,66.7
7,75,46.41
7,76,123.28
7,77,70.13
7,78,136.94
7,79,91.88
7,80,69.98
7,81,43.04
7,82,22.72
7,83,5.95
7,84,71.23
7,85,77.7
7,86,11.05
7,90,6.21
7,91,6.91
7,97,4.54
7,133,24.28
7,134,6.28
7,135,17.13
7,136,16.44
7,145,14.91
7,146,5.19
7,147,22.2
7,148,10.54
7,154,4.81
7,159,5.1
7,232,12.95
7,233,7.55
7,356,10.3
7,379,14
7,387,9
8,1,82.26
8,2,163.76
8,3,111.39
8,4,148.45
8,5,199.46
8,6,388.77
8,7,247.62
8,9,430.78
8,10,427.54
8,11,126.83
8,12,58.98
8,13,57.24
8,14,225.31
8,15,93.35
8,16,131.59
8,17,181.13
8,18,104.03
8,19,20.08
8,20,19.37
8,21,18.26
8,22,12.83
8,23,42.92
8,24,14.59
8,25,11.06
8,26,16.38
8,27,10.82
8,28,19.33
8,29,16.77
8,31,5.92
8,34,5.78
8,36,6.32
8,37,339.53
8,39,5.13
8,41,30.91
8,43,27.67
8,44,13.22
8,45,45.99
8,46,32.07
8,47,49.34
8,48,48.9
8,49,74.88
8,50,82.54
8,51,10.5
8,52,41.59
8,53,80.99
8,58,37.07
8,59,6.12
8,60,6.89
8,62,35.8
8,63,40.39
8,64,216.59
8,65,22.21
8,66,156.27
8,67,84.05
8,68,397.65
8,69,279.88
8,70,97.78
8,71,183.7
8,72,333.37
8,73,695.69
8,74,57.18
8,75,36.37
8,76,378.51
8,77,214.59
8,78,348.64
8,79,344.21
8,80,170.06
8,81,83.97
8,82,44.17
8,83,17.21
8,84,59.61
8,85,47.49
8,86,14.32
8,87,10.57
8,129,6.11
8,133,67.63
8,134,15.72
8,135,58.43
8,136,25.97
8,141,4.81
8,142,5.84
8,145,41.17
8,146,16.26
8,147,58.76
8,148,25.27
8,153,7.54
8,157,9.75
8,158,5.81
8,210,6.42
8,229,7.15
8,231,5.9
8,232,17.43
8,233,13.28
8,377,16
9,1,26.27
9,2,58.32
9,3,54.2
9,4,74.74
9,5,110.7
9,6,135.92
9,7,132.28
9,8,330.49
9,10,413.64
9,11,118.14
9,12,49.68
9,13,58.35
9,14,165.69
9,15,63.53
9,16,81.85
9,17,94.63
9,18,61.02
9,19,11.91
9,20,18.41
9,21,12.09
9,22,8.18
9,23,28.73
9,24,9.59
9,25,10.25
9,26,17.46
9,28,10.97
9,29,9.54
9,30,4.66
9,36,6.17
9,37,332.23
9,41,23.8
9,43,19.78
9,44,10.54
9,45,31.14
9,46,17.22
9,47,17.56
9,48,20.74
9,49,22.77
9,50,29.69
9,52,12.29
9,53,25.18
9,58,22.27
9,60,5.69
9,62,19.73
9,63,23.42
9,64,153.64
9,65,15.77
9,66,51.77
9,67,56.88
9,68,145.49
9,69,187.13
9,70,30.15
9,71,59.64
9,72,105.51
9,73,239.19
9,74,15.19
9,75,12.87
9,76,351.44
9,77,280.38
9,78,587.5
9,79,351.28
9,80,298.54
9,81,133.38
9,82,82.02
9,83,24.03
9,84,89.04
9,85,63.04
9,86,21.53
9,87,13.2
9,88,6.16
9,90,5.03
9,129,5.46
9,131,7.25
9,133,68.16
9,134,15.84
9,135,80.79
9,136,34.89
9,141,5.76
9,145,36.05
9,146,12.14
9,147,57.37
9,148,23.38
9,157,8.09
9,158,4.49
9,232,6.19
9,356,5.23
10,1,70.42
10,2,146.4
10,3,290.61
10,4,416.32
10,5,590.73
10,6,338.07
10,7,758.41
10,8,485.87
10,9,608.4
10,11,700.47
10,12,264.79
10,13,333.93
10,14,947.14
10,15,366.38
10,16,486.23
10,17,554.61
10,18,293.92
10,19,59.66
10,20,117.35
10,21,61.15
10,22,36.61
10,23,114.31
10,24,58.56
10,25,47.28
10,26,58.83
10,27,21.17
10,28,56.68
10,29,39.18
10,30,13.09
10,31,9.13
10,32,7.51
10,33,4.83
10,34,8.63
10,35,13.68
10,36,15.08
10,37,266.45
10,41,23.09
10,43,15.4
10,44,7.02
10,45,24.38
10,46,14.19
10,47,34.6
10,48,25.29
10,49,36.31
10,50,35.33
10,51,7.81
10,52,27.48
10,53,56.08
10,58,18.07
10,60,5.28
10,62,20.78
10,63,21.28
10,64,123.49
10,65,13.55
10,66,66.96
10,67,41.71
10,68,190.47
10,69,151.32
10,70,71.01
10,71,108.55
10,72,274.23
10,73,420.82
10,74,41.32
10,75,30.43
10,76,333.13
10,77,268.5
10,78,535.51
10,79,310.88
10,80,299.31
10,81,137.66
10,82,100.29
10,83,26.93
10,84,304.41
10,85,324.32
10,86,29.3
10,87,14.64
10,88,8.75
10,90,21.96
10,91,18.71
10,93,5.55
10,98,9.05
10,129,5.64
10,131,5.28
10,132,5.09
10,133,45.34
10,134,13.67
10,135,64.77
10,136,28.75
10,141,5.2
10,145,31.69
10,146,11.47
10,147,58.89
10,148,24.31
10,149,5.16
10,153,7.07
10,154,5.39
10,157,7.72
10,158,6.31
10,159,5.41
10,232,11.56
10,233,8.95
10,356,4.46
10,387,11
11,1,22.71
11,2,41.5
11,3,80.2
11,4,115.28
11,5,264.86
11,6,89.98
11,7,213.13
11,8,139.1
11,9,173.9
11,10,690.57
11,12,473.95
11,13,618.4
11,14,397.07
11,15,369.4
11,16,603.9
11,17,556.27
11,18,304.67
11,19,59.71
11,20,214.83
11,21,80.63
11,22,39.89
11,23,130.55
11,24,99.02
11,25,83.9
11,26,88.26
11,27,24.62
11,28,51.78
11,29,37.8
11,30,15.86
11,31,14.76
11,32,9.89
11,34,5.06
11,35,8.12
11,36,9.26
11,37,71.02
11,41,11.16
11,43,4.77
11,45,6.37
11,46,4.52
11,47,9.36
11,48,7.34
11,49,10.28
11,50,8.28
11,52,6.79
11,53,16.48
11,58,5.02
11,62,6.47
11,63,5.07
11,64,36.92
11,66,16.45
11,67,10.19
11,68,46.97
11,69,39.01
11,70,18.73
11,71,27.67
11,72,68.43
11,73,100.37
11,74,10.15
11,75,7.71
11,76,91.94
11,77,187.66
11,78,424.06
11,79,81.67
11,80,552.23
11,81,228.6
11,82,186.71
11,83,50.15
11,84,566.28
11,85,663.41
11,86,53.96
11,87,27.22
11,88,17.61
11,89,7.97
11,90,49.4
11,91,38.03
11,93,8.68
11,97,7.33
11,98,14.11
11,129,6.23
11,131,6.99
11,133,27.63
11,134,12.25
11,135,48.72
11,136,29.5
11,141,6.9
11,142,6.51
11,143,5
11,145,62.34
11,146,22.46
11,147,108.2
11,148,47.82
11,153,9.64
11,154,7.17
11,157,17.55
11,158,9.16
11,159,10.55
11,356,4.7
11,377,7
11,379,5
11,381,13
11,382,16
12,1,26.28
12,2,47.44
12,3,94.14
12,4,140.14
12,5,304.13
12,6,75.45
12,7,169.66
12,8,53.86
12,9,57.16
12,10,219.54
12,11,391.9
12,13,442.08
12,14,437.59
12,15,398.49
12,16,545.74
12,17,601.82
12,18,326.97
12,19,64.74
12,20,161.28
12,21,74.66
12,22,37.49
12,23,132.5
12,24,77.7
12,25,41.97
12,26,74.89
12,27,29.38
12,28,62.1
12,29,43.91
12,30,17.72
12,31,11.47
12,32,8.87
12,33,4.92
12,34,12.91
12,35,12.97
12,36,16.2
12,37,17.67
12,41,9.58
12,43,5.75
12,46,4.95
12,47,6.79
12,48,7.98
12,49,8.8
12,50,5.35
12,52,6.69
12,53,9.92
12,58,8.08
12,64,28.71
12,66,7.97
12,67,5.2
12,68,14.28
12,69,19.32
12,70,16.85
12,71,19.8
12,72,56.58
12,73,66.58
12,74,11.32
12,75,8.94
12,76,42.61
12,77,64.32
12,78,123.95
12,79,24.77
12,80,156.54
12,81,74.5
12,82,57.73
12,83,21.54
12,84,172.95
12,85,232.57
12,86,20.8
12,87,12.92
12,88,6.6
12,90,16.25
12,91,17.69
12,97,7.73
12,98,5.12
12,133,12.36
12,134,4.79
12,135,16.34
12,136,12.57
12,141,6.71
12,145,18.23
12,146,10.07
12,147,42.51
12,148,18.13
12,154,6.62
12,157,6.57
12,159,6.01
12,161,4.93
12,356,24.62
12,377,7
12,383,8
12,387,21
13,1,28.14
13,2,42.08
13,3,94.99
13,4,104.68
13,5,279.18
13,6,59.56
13,7,130.44
13,8,59.22
13,9,58.04
13,10,220.26
13,11,420.03
13,12,379.82
13,14,338.32
13,15,322.67
13,16,1068.96
13,17,545.62
13,18,588.16
13,19,121.51
13,20,379.58
13,21,151.24
13,22,75.53
13,23,280.86
13,24,191.07
13,25,94.6
13,26,180.64
13,27,57.29
13,28,117.17
13,29,89.75
13,30,36.5
13,31,18.16
13,32,17.73
13,33,12.58
13,34,21.01
13,35,26.1
13,36,25.06
13,37,18.04
13,41,13.62
13,47,5.5
13,48,7.3
13,49,5.51
13,50,5.85
13,52,6.09
13,53,7.9
13,58,6.02
13,63,6.04
13,64,33.33
13,66,6.92
13,67,5.08
13,68,16.66
13,69,18.88
13,70,10.15
13,71,14.12
13,72,44.76
13,73,54.71
13,74,11.7
13,75,7.93
13,76,46.98
13,77,70.34
13,78,126.22
13,79,28.19
13,80,229.52
13,81,111.66
13,82,119.67
13,83,39.96
13,84,223.69
13,85,596.12
13,86,53.92
13,87,30.03
13,88,15.65
13,89,5.56
13,90,41.07
13,91,39.06
13,93,10.13
13,97,21.99
13,98,13.43
13,100,5.21
13,110,4.65
13,133,16.96
13,134,7.21
13,135,22.42
13,136,20.92
13,141,11.75
13,145,30.22
13,146,15.14
13,147,80.42
13,148,34.13
13,153,8.99
13,154,8.11
13,157,16.49
13,158,7.31
13,159,16.62
13,161,5.36
13,210,5.03
13,356,30.79
13,377,5
13,379,14
13,381,19
13,382,21
13,383,22
13,387,40
14,1,106.07
14,2,201.08
14,3,455.89
14,4,638.84
14,5,1309.8
14,6,349.8
14,7,811.45
14,8,222.15
14,9,198.45
14,10,830.75
14,11,353.09
14,12,469.63
14,13,420.32
14,15,809.4
14,16,1074.72
14,17,1249.3
14,18,646.34
14,19,125.61
14,20,148.11
14,21,135.14
14,22,86.91
14,23,249
14,24,79.6
14,25,44.82
14,26,87.36
14,27,49.66
14,28,122.69
14,29,86.61
14,30,20.9
14,31,19.28
14,32,14.5
14,33,10.93
14,34,21.11
14,35,22.23
14,36,26.52
14,37,83.34
14,41,24.2
14,43,13.1
14,44,4.77
14,45,15.46
14,46,6.2
14,47,27.86
14,48,17.89
14,49,30.94
14,50,23.91
14,51,8.39
14,52,30.81
14,53,47.57
14,58,15.95
14,62,7.61
14,63,14.02
14,64,80.84
14,65,6.95
14,66,39.36
14,67,20.1
14,68,78.06
14,69,66.71
14,70,70.76
14,71,87.47
14,72,281.87
14,73,309.89
14,74,51.76
14,75,36.7
14,76,139.16
14,77,98.08
14,78,178.15
14,79,100.83
14,80,138.47
14,81,75.67
14,82,53.16
14,83,16.6
14,84,146.52
14,85,182.86
14,86,19.82
14,87,11.78
14,88,9.94
14,90,15.2
14,91,19.17
14,97,9.06
14,98,8.53
14,99,5.22
14,111,5.33
14,129,5.09
14,133,26.17
14,134,4.6
14,135,24.48
14,136,16.77
14,141,6.47
14,145,15.32
14,146,8.34
14,147,40.13
14,148,19.24
14,149,4.67
14,153,5.79
14,157,7.91
14,158,4.93
14,159,9.58
14,210,6.22
14,232,12.98
14,233,8.25
14,356,40.4
14,377,6
14,379,13
14,381,13
14,382,16
14,387,49
15,1,51.04
15,2,60.59
15,3,177.09
15,4,178.9
15,5,579.05
15,6,102.13
15,7,213.65
15,8,75.33
15,9,60.18
15,10,226.94
15,11,208.83
15,12,286.49
15,13,278.33
15,14,550.58
15,16,1052.77
15,17,1196.07
15,18,647.53
15,19,123.29
15,20,112.24
15,21,139.81
15,22,88.15
15,23,258.77
15,24,75.85
15,25,45.37
15,26,93.33
15,27,54.43
15,28,124.21
15,29,100.31
15,30,21.6
15,31,19.84
15,32,16.29
15,33,12.81
15,34,24.74
15,35,28.85
15,36,27.37
15,37,21.98
15,41,16.85
15,43,5.08
15,45,8.71
15,47,10.51
15,48,11.87
15,49,11.45
15,50,9.36
15,52,9.91
15,53,15.59
15,58,10.57
15,64,38.73
15,66,12.12
15,67,7.19
15,68,23.38
15,69,29.07
15,70,21.68
15,71,29.47
15,72,77.37
15,73,97.42
15,74,21.13
15,75,15.95
15,76,61.08
15,77,44.6
15,78,71.31
15,79,29.29
15,80,89.07
15,81,54.68
15,82,40.61
15,83,11.99
15,84,89.74
15,85,118.56
15,86,19.74
15,87,10.01
15,88,7.68
15,90,12.02
15,91,21.46
15,93,4.93
15,97,12.81
15,113,4.49
15,133,9.95
15,134,5.39
15,135,11.15
15,136,12.28
15,142,4.68
15,145,11.59
15,146,6.53
15,147,31.75
15,148,11.78
15,157,5.45
15,158,5.16
15,159,8.41
15,210,5.06
15,356,14.19
15,358,11.08
15,379,11
15,382,8
15,383,10
15,387,45
16,1,57.54
16,2,65.82
16,3,189.24
16,4,151.38
16,5,514.88
16,6,83.26
16,7,166.2
16,8,78.73
16,9,50.89
16,10,170.32
16,11,158.77
16,12,195.07
16,13,428.48
16,14,364.18
16,15,481.94
16,17,932.72
16,18,1040.1
16,19,218.54
16,20,207.3
16,21,248.49
16,22,137.45
16,23,516.67
16,24,156.27
16,25,92.96
16,26,195.01
16,27,112.22
16,28,238.26
16,29,215.07
16,30,49.61
16,31,55.9
16,32,40.28
16,33,32.26
16,34,54.18
16,35,62.3
16,36,61.96
16,37,10.01
16,39,5.15
16,41,25.39
16,43,9.49
16,44,5.33
16,45,8.78
16,47,10.51
16,48,12.31
16,49,13.48
16,50,10.53
16,52,6.98
16,53,17.91
16,58,13.72
16,63,7.72
16,64,49.43
16,65,4.6
16,66,9.24
16,67,7.45
16,68,20.46
16,69,33.5
16,70,16.85
16,71,28.05
16,72,64.24
16,73,83.42
16,74,24.73
16,75,22.21
16,76,83.88
16,77,64.7
16,78,67.93
16,79,28.82
16,80,130.88
16,81,82.18
16,82,62.34
16,83,23.39
16,84,100.22
16,85,194.31
16,86,38.55
16,87,23.2
16,88,15.28
16,89,5.52
16,90,21.97
16,91,36.15
16,93,9.78
16,97,22.47
16,98,10.68
16,99,6.44
16,100,6.99
16,101,5.56
16,106,4.96
16,110,4.93
16,111,5.56
16,113,8.61
16,123,5.17
16,131,5.6
16,133,20.25
16,134,6.36
16,135,21.34
16,136,17.21
16,143,4.97
16,145,17.86
16,146,14.63
16,147,46.9
16,148,25.13
16,149,5.49
16,153,6.29
16,154,10.01
16,155,5.36
16,157,14.52
16,158,5.39
16,159,16.46
16,210,8.03
16,232,5.96
16,356,44.99
16,357,29
16,358,6.1
16,359,7.1
16,360,8.09
16,367,5.01
16,375,12
16,376,13
16,377,31
16,379,21
16,380,16
16,381,41
16,382,60
16,383,17
16,385,7
16,387,129
17,1,89.07
17,2,90.77
17,3,311.83
17,4,231.41
17,5,940.16
17,6,89.04
17,7,179.58
17,8,83.74
17,9,53.07
17,10,180.65
17,11,137.13
17,12,184.53
17,13,228.14
17,14,391.55
17,15,468.77
17,16,869.41
17,18,1088.73
17,19,210.88
17,20,108.38
17,21,124.98
17,22,149.06
17,23,314.24
17,24,97.65
17,25,59.66
17,26,121.64
17,27,78.3
17,28,235.22
17,29,206.56
17,30,34.91
17,31,36.25
17,32,31.49
17,33,23.92
17,34,41.09
17,35,58.04
17,36,54.17
17,37,15.08
17,41,12.58
17,43,4.74
17,45,5.17
17,47,13.78
17,48,10.97
17,49,12.74
17,50,7.31
17,52,16.8
17,53,16.9
17,58,10.08
17,63,9.09
17,64,38.68
17,66,11.89
17,67,8.19
17,68,26.24
17,69,27.28
17,70,24.45
17,71,30.62
17,72,90.64
17,73,88.83
17,74,43.62
17,75,32.01
17,76,76.95
17,77,44.66
17,78,50.8
17,79,28.81
17,80,74.12
17,81,46.91
17,82,35.54
17,83,11.31
17,84,64.4
17,85,94.54
17,86,19.37
17,87,12.23
17,88,9.11
17,90,10.62
17,91,19.14
17,93,6.63
17,97,11.24
17,98,6.75
17,113,5.52
17,133,13.02
17,135,9.54
17,136,10.65
17,145,10.53
17,146,5.35
17,147,23.7
17,148,14.17
17,157,10.07
17,159,6.03
17,356,5.4
17,358,7.09
17,383,9
17,387,13
18,1,70.92
18,2,77.21
18,3,216.87
18,4,168.2
18,5,580.2
18,6,78.41
18,7,143.33
18,8,76.5
18,9,45.86
18,10,148.1
18,11,114.89
18,12,144.46
18,13,272.43
18,14,276.89
18,15,302.66
18,16,901.33
18,17,1018.5
18,19,239.27
18,20,138.66
18,21,144.09
18,22,157.32
18,23,406.71
18,24,128.31
18,25,84.77
18,26,170.2
18,27,104.68
18,28,265.27
18,29,247.52
18,30,50.41
18,31,57.32
18,32,41.04
18,33,33.67
18,34,61.31
18,35,81.87
18,36,87.76
18,37,6.34
18,41,37.24
18,43,15.31
18,45,6.49
18,46,10.4
18,47,12.59
18,48,17.83
18,49,20.57
18,50,6.97
18,52,8.26
18,53,17.48
18,58,16.45
18,63,14.46
18,64,74.81
18,66,10.05
18,67,10.92
18,68,18.73
18,69,41.48
18,70,18.79
18,71,30.46
18,72,78.58
18,73,86.01
18,74,34.37
18,75,27.6
18,76,99.18
18,77,69.68
18,78,58.14
18,79,23.55
18,80,100.64
18,81,79.36
18,82,47.67
18,83,22.75
18,84,67.24
18,85,122.51
18,86,38.42
18,87,21.68
18,88,13.7
18,89,6.29
18,90,12.63
18,91,42.22
18,93,11.42
18,97,20.82
18,98,11.4
18,99,8.06
18,100,8.51
18,101,9.16
18,106,5.71
18,108,5.51
18,110,6.69
18,111,9.15
18,112,6.51
18,113,11.45
18,115,7.34
18,121,5.14
18,123,10.12
18,129,6.23
18,133,26.01
18,134,10.61
18,135,20.94
18,136,25.43
18,138,5.01
18,141,9.4
18,142,6.32
18,145,18.07
18,146,10.18
18,147,43.45
18,148,24.64
18,149,5.22
18,153,8.58
18,154,11.45
18,157,12.8
18,158,9.68
18,159,16.77
18,191,5.02
18,205,6
18,209,5
18,210,11.02
18,219,5.02
18,232,6.61
18,233,5.4
18,259,5
18,381,13
18,382,16
18,387,17
19,1,14.93
19,2,12.98
19,3,47.13
19,4,35.33
19,5,127.67
19,6,18.02
19,7,28.23
19,8,15.3
19,9,11.63
19,10,28
19,11,25.97
19,12,30.54
19,13,61.28
19,14,58.28
19,15,63.94
19,16,207.27
19,17,205.08
19,18,256.73
19,20,39.04
19,21,43.17
19,22,70.56
19,23,167.03
19,24,39.58
19,25,26.59
19,26,57.39
19,27,34.93
19,28,110.26
19,29,90.3
19,30,16.53
19,31,18.83
19,32,15.36
19,33,11.75
19,34,20.38
19,35,26.53
19,36,29.24
19,41,7.04
19,58,6.08
19,64,15.52
19,68,4.87
19,69,7.64
19,70,4.88
19,71,4.82
19,72,16.05
19,73,17.31
19,74,6.35
19,75,7.85
19,76,19.77
19,77,13.04
19,78,11.05
19,80,22.35
19,81,15.9
19,82,11.33
19,84,13.46
19,85,28.73
19,86,12.8
19,87,6.04
19,88,4.76
19,91,13.84
19,97,10.26
19,98,4.71
19,99,5.48
19,111,4.52
19,135,5.36
19,136,5.26
19,147,8.55
19,148,6.67
19,157,4.51
19,159,6.5
19,377,5
19,382,6
19,387,55
20,1,15.42
